canonical_smiles,pchembl_value,assay_description,chembl_id,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount
CC(C)(O)CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.28,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4218626,604.5660000000001,4.084700000000003,106.94000000000001,3,6,7,3,2,0.43478260869565216,39
CC(C)(O)CCc1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,5.44,Activation of PXR (unknown origin),CHEMBL4571861,355.86900000000014,4.166100000000003,50.42,1,3,5,4,3,0.4,25
CC(C)(O)CNC(=O)CC1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.7,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4214055,586.5260000000002,3.925200000000003,106.94,3,5,7,3,2,0.4583333333333333,39
CC(C)(O)CNC(=O)CC1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.76,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4214711,604.5660000000001,4.084700000000003,106.94000000000001,3,6,7,3,2,0.43478260869565216,39
CC(C)(O)CNC(=O)CC1CSc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.883333333333333,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4206368,604.5660000000001,4.084700000000003,106.94,3,6,7,3,2,0.43478260869565216,39
CC(C)(O)CNC(=O)CC1Cc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N(S(=O)(=O)c2ccc(F)cc2)C1,6.545,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4211051,586.5260000000001,3.782700000000003,106.94,3,5,7,3,2,0.4583333333333333,39
CC(C)(O)CNC(=O)C[C@@H]1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.74,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4215334,586.5260000000002,3.925200000000003,106.94,3,5,7,3,2,0.4583333333333333,39
CC(C)(O)CNC(=O)C[C@@H]1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.64,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4213534,604.5660000000001,4.084700000000003,106.94000000000001,3,6,7,3,2,0.43478260869565216,39
CC(C)(O)CNC(=O)C[C@H]1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.54,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4204747,586.5260000000002,3.925200000000003,106.94,3,5,7,3,2,0.4583333333333333,39
CC(C)(O)CNC(=O)C[C@H]1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.84,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4214210,604.5660000000001,4.084700000000003,106.94000000000001,3,6,7,3,2,0.43478260869565216,39
