canonical_smiles,pchembl_value,assay_description,chembl_id
CC(C)(O)CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.28,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4218626
CC(C)(O)CCc1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,5.44,Activation of PXR (unknown origin),CHEMBL4571861
CC(C)(O)CNC(=O)CC1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.7,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4214055
CC(C)(O)CNC(=O)CC1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.76,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4214711
CC(C)(O)CNC(=O)CC1CSc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.883333333333333,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4206368
CC(C)(O)CNC(=O)CC1Cc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N(S(=O)(=O)c2ccc(F)cc2)C1,6.545,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4211051
CC(C)(O)CNC(=O)C[C@@H]1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.74,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4215334
CC(C)(O)CNC(=O)C[C@@H]1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.64,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4213534
CC(C)(O)CNC(=O)C[C@H]1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.54,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4204747
CC(C)(O)CNC(=O)C[C@H]1CN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2S1,6.84,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4214210
CC(C)(O)[C@H](F)CNC(=O)C[C@@H]1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.7,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4212978
CC(C)(O)c1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)F)n5)(CC3)CC4)C(=O)[C@H]3C[C@@](C)(O)C3)c2)cc1,4.3,Transactivation of PXR (unknown origin),CHEMBL5202191
CC(C)(O)c1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)F)n5)(CC3)CC4)C(=O)[C@H]3C[C@](O)(C(F)(F)F)C3)c2)cc1,4.3,Transactivation of PXR (unknown origin),CHEMBL5182534
CC(C)CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.666666666666667,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL3189011
CC(C)CN(CC(C)C)c1ccc(-c2ccccc2C(=O)O)cc1NC(=O)Nc1ccccc1F,5.68,Transactivation of PXR (unknown origin),CHEMBL5272231
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.9799999999999995,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL1714574
CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,5.51,Activation of PXR in human cryopreserved hepatocytes assessed as induction of CYP3A4 | Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL1475693
CC(C)c1cc(-c2ccc(C(F)(F)F)cc2CN2C(=O)O[C@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2C)c(Cl)cc1F,5.12,Transactivation of PXR (unknown origin),CHEMBL4876714
CC(C)c1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,6.0,Activation of PXR (unknown origin),CHEMBL3318979
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,5.4,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL163
CC(O)(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)C(F)(F)F,6.62,Transactivation of PXR in human HepG2 cells,CHEMBL4440933
CC(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)(C(F)(F)F)C(F)(F)F,6.12,Transactivation of PXR in human HepG2 cells,CHEMBL4447203
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,7.1499999999999995,Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL8739
CC1(C)CCN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc21,7.44,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4206412
CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)O)C3(c4cccc(-c5cc(Cl)cc(Cl)c5)c4)CCC3)ccc2O1,5.52,Transactivation of human PXR expressed in human HepG2 cells after 15 mins by luciferase reporter gene assay,CHEMBL3764017
CC1(C)CN2CCC[C@]2(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)C1,5.25,Activation of PXR (unknown origin),CHEMBL4062780
CC1(C)Cc2c(c(C(=O)Nc3ccc(F)c(C(F)(F)F)c3)cc3nc(Nc4c(F)cccc4Cl)[nH]c23)O1,5.61,Activation of human PXR,CHEMBL4224969
CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)[O-].[K+],5.2,Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1201121
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,5.066666666666666,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL7002
CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,4.866666666666667,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL304818
CC1CCN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc21,7.8,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4209665
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.5,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL596
CCC(=O)NC(=S)Nc1ccc(NC(=O)c2ccco2)c(Cl)c1,5.35,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1486581
CCC(=O)Nc1cc(OC)c(NC(=O)c2ccccc2)cc1OC,5.73,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1445852
CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,5.8740000000000006,Activation of PXR in human cryopreserved hepatocytes assessed as induction of CYP3A4 | Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL1200617
